mse,mae,rmse,rse,mape,wape,smape,config,dataset,run
0.0007605375787076127,0.0054212941515156135,0.027577845795268577,0.13659933298886906,1.108282148150764,0.25811690856166397,77.61329208538396,static_average,GEANT,2
0.0007847605226082362,0.005473786784435828,0.028013577468938813,0.14094998977755097,1.1886476510013664,0.26061617086932537,79.99163852106193,full_3branch,GEANT,3
0.0007460519323618525,0.005404678196435443,0.027313951240379934,0.13399758169591394,0.9788895005560438,0.25732579506768505,82.90548169112697,no_ml_branch,GEANT,3
0.0007466549279921805,0.005540493571901774,0.02732498724596556,0.1341058850897291,1.252536392143018,0.2637921929185949,79.92329319377788,no_global_branch,GEANT,3
0.0007592264955250255,0.005415728767137731,0.02755406495464917,0.1363638507546596,1.10712861325166,0.2578519312757193,77.904578990186,static_average,GEANT,3
0.0008106170662016706,0.0055196722546580305,0.028471337625789038,0.14559405564246547,1.2651555253016025,0.2628008550776785,80.7053101431969,full_3branch,GEANT,4
0.000745786791314288,0.00540859033501886,0.027309097226277692,0.13394995999876277,0.9835143679852735,0.25751205854810033,81.09985496178538,no_ml_branch,GEANT,4
0.0007469924003648277,0.005537332302743286,0.027331161709024148,0.134166498138047,1.2522403258162622,0.2636416795910545,79.63673302600226,no_global_branch,GEANT,4
0.0007590757922996866,0.005417099650321085,0.027551330136668294,0.1363367831111441,1.1127400076336789,0.25791720132368146,77.840350569884,static_average,GEANT,4
0.0007975274323799509,0.005474723666930635,0.028240528188756508,0.14324304065099866,1.1916216496080845,0.2606607774164867,80.31689604826468,full_3branch,GEANT,5
0.0007524925852107266,0.005429357398319531,0.027431598298508355,0.1351543803969907,0.9955281113912849,0.2585008132677783,84.75084575260655,no_ml_branch,GEANT,5
0.000747935197820733,0.005543741795885356,0.027348403935526712,0.13433583297070462,1.2524319861571716,0.26394684631122145,79.67986858397818,no_global_branch,GEANT,5
0.0007311062116944624,0.005419249792435258,0.02703897578856238,0.13131319695101717,1.118577424085021,0.2580195731965162,79.16036980485774,static_average,GEANT,5
0.0008233512716194225,0.005585441394750987,0.028694098201885045,0.14788123252222474,1.3512236146527314,0.2659322341626534,82.82596779823156,full_3branch,GEANT,6
0.0007509576374545644,0.005425501362998796,0.0274036062855706,0.13487869008853706,0.9917332185261699,0.25831722095781035,85.25044455164613,no_ml_branch,GEANT,6
0.0007504534965884611,0.005564277103639882,0.027394406301076524,0.13478814189214264,1.2774945864538017,0.2649245667605866,81.97259106312423,no_global_branch,GEANT,6
0.0007325284465950082,0.00542124702126265,0.02706526272909628,0.13156864302522453,1.121463703064317,0.25811466461126126,78.2241447990978,static_average,GEANT,6
0.0007877684047375824,0.005556030034814608,0.028067212272286368,0.14149023223772766,1.3087326349862791,0.26453190997968123,82.41558833502317,full_3branch,GEANT,7
0.0007517095872973539,0.00542644504309602,0.027417322759477336,0.13501374698755403,0.9913177670158158,0.2583621511502255,84.52042332743287,no_ml_branch,GEANT,7
0.0007467684643821168,0.005548206250481402,0.02732706468653589,0.13412627723808504,1.2591318940961929,0.2641594064834864,80.31415722387743,no_global_branch,GEANT,7
0.0007313745622795349,0.005418448158725592,0.02704393762527075,0.13136139510973324,1.1190884342689575,0.25798140607088993,79.52317295465716,static_average,GEANT,7
0.0007761642231805876,0.005473112540064067,0.027859724032742814,0.13940601772296188,1.1993378722060808,0.26058406896376735,79.8241150687976,full_3branch,GEANT,8
0.0007494972087613851,0.00543484357119899,0.027376946666152986,0.13461638406849122,0.9968705403308726,0.25876201916140884,86.79052454288518,no_ml_branch,GEANT,8
0.0007506554605577645,0.005556595167388484,0.027398092279532247,0.1348244164225104,1.2704393964403016,0.2645588168895113,81.24858432712743,no_global_branch,GEANT,8
0.0007311011448990449,0.0054211591129650774,0.027038882094107458,0.1313122869093653,1.1162238097780748,0.25811047914975105,78.32787868031993,static_average,GEANT,8
0.0007374495298222415,0.005452891388127349,0.027156021980810102,0.1324525134679778,1.1760357324613016,0.2596213059998721,79.66745039254978,full_3branch,GEANT,9
0.0007519856396634922,0.00542894491127441,0.02742235656655883,0.13506332845484795,0.990552545475332,0.25848117406762927,83.78626651129896,no_ml_branch,GEANT,9
0.000749872596331586,0.0055526372219041895,0.027383801714363658,0.1346838070244862,1.261541030417184,0.2643703724657058,80.35480570986863,no_global_branch,GEANT,9
0.0007332831447533952,0.005421684440046053,0.027079201331527396,0.1317041935462373,1.12008450981261,0.25813549085329185,78.56795539940585,static_average,GEANT,9
0.005178299478517005,0.03446417691635042,0.07196040215644299,0.2582666452870946,1.0685804404235288,0.3118243719596174,48.32581364284365,full_3branch,ABILENE,0
0.0037925826411867544,0.028771562961723087,0.0615839479181609,0.1891542966522065,0.5587046569663375,0.2603188398379991,39.690918388113744,no_ml_branch,ABILENE,0
0.0031562115786469775,0.028130029016210416,0.05618017068901605,0.15741541786356592,2.0277431476253147,0.25451438032237494,52.3433544730582,no_global_branch,ABILENE,0
0.003956281565777607,0.03041791136680966,0.0628989790519497,0.19731874760112933,1.5912660970860126,0.27521464189614386,51.04093049234265,static_average,ABILENE,0
0.0033195640649901197,0.02420667892449912,0.057615658158092053,0.16556259027454273,0.46098877591073634,0.21901676257003627,35.04062366456659,full_3branch,ABILENE,1
0.003792348201598083,0.028721334244991247,0.061582044474003,0.18914260402486044,0.5531544731350311,0.25986438134078155,39.80055767860519,no_ml_branch,ABILENE,1
0.002064546294546579,0.017071985496734637,0.045437278687731494,0.10296883132088551,0.29086005639517476,0.1544636092294846,28.52863615445823,no_global_branch,ABILENE,1
0.0029954835198726494,0.02345041750485424,0.05473101058698487,0.14939913824988843,0.4488737916000326,0.21217427383773824,34.55098400034964,static_average,ABILENE,1
0.003001790155213366,0.022355194381446498,0.05478859511990945,0.1497136804194275,0.4285827725251152,0.20226493338138024,33.53666080124363,full_3branch,ABILENE,2
0.0037971409515301898,0.028728078352399156,0.06162094572083578,0.18938164146404304,0.5529035607991282,0.25992540055682156,39.783356791283914,no_ml_branch,ABILENE,2
